#from https://raw.githubusercontent.com/XENONnT/strax_auxiliary_files/master/strax_files/pmt_positions_xenonnt.csv
i,array,x,y
0,top,-13.8753,-64.0872
1,top,-20.8129,-60.0818
2,top,-27.7506,-56.0763
3,top,-34.6882,-52.0709
4,top,-41.6259,-48.0654
5,top,-48.5635,-44.06
6,top,-1.67313e-05,-64.0872
7,top,-6.93766,-60.0818
8,top,-13.8753,-56.0763
9,top,-20.8129,-52.0709
10,top,-27.7506,-48.0654
11,top,-34.6882,-44.06
12,top,-41.6259,-40.0545
13,top,-48.5635,-36.0491
14,top,-55.5012,-32.0436
15,top,13.8753,-64.0872
16,top,6.93763,-60.0818
17,top,-1.46399e-05,-56.0763
18,top,-6.93766,-52.0709
19,top,-13.8753,-48.0654
20,top,-20.8129,-44.06
21,top,-27.7506,-40.0545
22,top,-34.6882,-36.0491
23,top,-41.6259,-32.0436
24,top,-48.5635,-28.0382
25,top,-55.5012,-24.0327
26,top,-62.4388,-20.0273
27,top,20.8129,-60.0818
28,top,13.8753,-56.0763
29,top,6.93763,-52.0709
30,top,-1.25485e-05,-48.0654
31,top,-6.93766,-44.06
32,top,-13.8753,-40.0545
33,top,-20.8129,-36.0491
34,top,-27.7506,-32.0436
35,top,-34.6882,-28.0382
36,top,-41.6259,-24.0327
37,top,-48.5635,-20.0273
38,top,-55.5012,-16.0218
39,top,-62.4388,-12.0164
40,top,27.7506,-56.0763
41,top,20.8129,-52.0709
42,top,13.8753,-48.0654
43,top,6.93763,-44.06
44,top,-1.04571e-05,-40.0545
45,top,-6.93765,-36.0491
46,top,-13.8753,-32.0436
47,top,-20.8129,-28.0382
48,top,-27.7506,-24.0327
49,top,-34.6882,-20.0273
50,top,-41.6259,-16.0218
51,top,-48.5635,-12.0164
52,top,-55.5012,-8.01092
53,top,-62.4388,-4.00547
54,top,34.6882,-52.0709
55,top,27.7506,-48.0654
56,top,20.8129,-44.06
57,top,13.8753,-40.0545
58,top,6.93763,-36.0491
59,top,-8.36565e-06,-32.0436
60,top,-6.93765,-28.0382
61,top,-13.8753,-24.0327
62,top,-20.8129,-20.0273
63,top,-27.7506,-16.0218
64,top,-34.6882,-12.0164
65,top,-41.6259,-8.01091
66,top,-48.5635,-4.00546
67,top,-55.5012,-1.44897e-05
68,top,-62.4388,4.00544
69,top,41.6259,-48.0654
70,top,34.6882,-44.06
71,top,27.7506,-40.0545
72,top,20.8129,-36.0491
73,top,13.8753,-32.0436
74,top,6.93764,-28.0382
75,top,-6.27423e-06,-24.0327
76,top,-6.93765,-20.0273
77,top,-13.8753,-16.0218
78,top,-20.8129,-12.0164
79,top,-27.7506,-8.01091
80,top,-34.6882,-4.00546
81,top,-41.6259,-1.08673e-05
82,top,-48.5635,4.00544
83,top,-55.5011,8.01089
84,top,-62.4388,12.0163
85,top,48.5635,-44.06
86,top,41.6259,-40.0545
87,top,34.6882,-36.0491
88,top,27.7506,-32.0436
89,top,20.8129,-28.0382
90,top,13.8753,-24.0327
91,top,6.93764,-20.0273
92,top,-4.18282e-06,-16.0218
93,top,-6.93765,-12.0164
94,top,-13.8753,-8.01091
95,top,-20.8129,-4.00546
96,top,-27.7506,-7.24486e-06
97,top,-34.6882,4.00544
98,top,-41.6259,8.01089
99,top,-48.5635,12.0163
100,top,-55.5011,16.0218
101,top,-62.4388,20.0272
102,top,48.5635,-36.0491
103,top,41.6259,-32.0436
104,top,34.6882,-28.0382
105,top,27.7506,-24.0327
106,top,20.8129,-20.0273
107,top,13.8753,-16.0218
108,top,6.93764,-12.0164
109,top,-2.09141e-06,-8.0109
110,top,-6.93764,-4.00545
111,top,-13.8753,-3.62243e-06
112,top,-20.8129,4.00545
113,top,-27.7506,8.0109
114,top,-34.6882,12.0163
115,top,-41.6259,16.0218
116,top,-48.5635,20.0272
117,top,-55.5011,24.0327
118,top,55.5011,-32.0436
119,top,48.5635,-28.0382
120,top,41.6259,-24.0327
121,top,34.6882,-20.0273
122,top,27.7506,-16.0218
123,top,20.8129,-12.0163
124,top,13.8753,-8.0109
125,top,6.93764,-4.00545
126,top,-0,0
127,top,-6.93764,4.00545
128,top,-13.8753,8.0109
129,top,-20.8129,12.0164
130,top,-27.7506,16.0218
131,top,-34.6882,20.0273
132,top,-41.6259,24.0327
133,top,-48.5635,28.0382
134,top,-55.5011,32.0436
135,top,55.5011,-24.0327
136,top,48.5635,-20.0272
137,top,41.6259,-16.0218
138,top,34.6882,-12.0163
139,top,27.7506,-8.0109
140,top,20.8129,-4.00545
141,top,13.8753,3.62243e-06
142,top,6.93764,4.00545
143,top,2.09141e-06,8.0109
144,top,-6.93764,12.0164
145,top,-13.8753,16.0218
146,top,-20.8129,20.0273
147,top,-27.7506,24.0327
148,top,-34.6882,28.0382
149,top,-41.6259,32.0436
150,top,-48.5635,36.0491
151,top,62.4388,-20.0272
152,top,55.5011,-16.0218
153,top,48.5635,-12.0163
154,top,41.6259,-8.01089
155,top,34.6882,-4.00544
156,top,27.7506,7.24486e-06
157,top,20.8129,4.00546
158,top,13.8753,8.01091
159,top,6.93765,12.0164
160,top,4.18282e-06,16.0218
161,top,-6.93764,20.0273
162,top,-13.8753,24.0327
163,top,-20.8129,28.0382
164,top,-27.7506,32.0436
165,top,-34.6882,36.0491
166,top,-41.6259,40.0545
167,top,-48.5635,44.06
168,top,62.4388,-12.0163
169,top,55.5011,-8.01089
170,top,48.5635,-4.00544
171,top,41.6259,1.08673e-05
172,top,34.6882,4.00546
173,top,27.7506,8.01091
174,top,20.8129,12.0164
175,top,13.8753,16.0218
176,top,6.93765,20.0273
177,top,6.27423e-06,24.0327
178,top,-6.93764,28.0382
179,top,-13.8753,32.0436
180,top,-20.8129,36.0491
181,top,-27.7506,40.0545
182,top,-34.6882,44.06
183,top,-41.6259,48.0654
184,top,62.4388,-4.00544
185,top,55.5012,1.44897e-05
186,top,48.5635,4.00546
187,top,41.6259,8.01091
188,top,34.6882,12.0164
189,top,27.7506,16.0218
190,top,20.8129,20.0273
191,top,13.8753,24.0327
192,top,6.93765,28.0382
193,top,8.36565e-06,32.0436
194,top,-6.93763,36.0491
195,top,-13.8753,40.0545
196,top,-20.8129,44.06
197,top,-27.7506,48.0654
198,top,-34.6882,52.0709
199,top,62.4388,4.00547
200,top,55.5012,8.01092
201,top,48.5635,12.0164
202,top,41.6259,16.0218
203,top,34.6882,20.0273
204,top,27.7506,24.0327
205,top,20.8129,28.0382
206,top,13.8753,32.0436
207,top,6.93765,36.0491
208,top,1.04571e-05,40.0545
209,top,-6.93763,44.06
210,top,-13.8753,48.0654
211,top,-20.8129,52.0709
212,top,-27.7506,56.0763
213,top,62.4388,12.0164
214,top,55.5012,16.0218
215,top,48.5635,20.0273
